Gene	Category
ENSDARG00000025372	TGF
ENSDARG00000014357	TGF
ENSDARG00000096252	TGF
ENSDARG00000061769	TGF
ENSDARG00000037491	TGF
ENSDARG00000103679	TGF
ENSDARG00000013409	TGF
ENSDARG00000041430	TGF
ENSDARG00000060526	TGF
ENSDARG00000019995	TGF
ENSDARG00000101701	TGF
ENSDARG00000015686	TGF
ENSDARG00000018260	TGF
ENSDARG00000063230	TGF
ENSDARG00000035677	TGF
ENSDARG00000037995	TGF
ENSDARG00000095378	TGF
ENSDARG00000073891	TGF
ENSDARG00000044924	TGF
ENSDARG00000059173	TGF
ENSDARG00000002760	TGF
ENSDARG00000053479	TGF
ENSDARG00000005510	TGF
ENSDARG00000042784	TGF
ENSDARG00000003229	TGF
ENSDARG00000039959	TGF
ENSDARG00000103764	TGF
ENSDARG00000075301	TGF
ENSDARG00000052433	TGF
ENSDARG00000012671	TGF
ENSDARG00000024759	TGF
ENSDARG00000040777	TGF
ENSDARG00000019920	TGF
ENSDARG00000044059	TGF
ENSDARG00000100986	TGF
ENSDARG00000103892	TGF
ENSDARG00000105048	TGF
ENSDARG00000098471	TGF
ENSDARG00000045632	TGF
ENSDARG00000042947	TGF
ENSDARG00000069133	TGF
ENSDARG00000057096	TGF
ENSDARG00000101279	TGF
ENSDARG00000079849	TGF
ENSDARG00000014309	TGF
ENSDARG00000041502	TGF
ENSDARG00000034895	TGF
ENSDARG00000027087	TGF
ENSDARG00000071879	TGF
ENSDARG00000019367	TGF
ENSDARG00000042197	TGF
ENSDARG00000074434	EGF
ENSDARG00000098969	EGF
ENSDARG00000099137	EGF
ENSDARG00000093079	EGF
ENSDARG00000056781	EGF
ENSDARG00000013526	EGF
ENSDARG00000099192	EGF
ENSDARG00000077725	EGF
ENSDARG00000100599	EGF
ENSDARG00000099838	EGF
ENSDARG00000103641	EGF
ENSDARG00000099008	EGF
ENSDARG00000035891	EGF
ENSDARG00000045799	EGF
ENSDARG00000079204	EGF
ENSDARG00000089213	EGF
ENSDARG00000059693	EGF
ENSDARG00000067545	EGF
ENSDARG00000060532	EGF
ENSDARG00000062323	EGF
ENSDARG00000035514	EGF
ENSDARG00000001452	EGF
ENSDARG00000057644	EGF
ENSDARG00000010070	EGF
ENSDARG00000026313	EGF
ENSDARG00000089904	EGF
ENSDARG00000093316	EGF
ENSDARG00000013653	EGF
ENSDARG00000079388	EGF
ENSDARG00000076853	EGF
ENSDARG00000043388	EGF
ENSDARG00000062164	EGF
ENSDARG00000077188	EGF
ENSDARG00000006420	EGF
ENSDARG00000099412	EGF
ENSDARG00000028071	EGF
ENSDARG00000028053	EGF
ENSDARG00000098112	EGF
ENSDARG00000039516	EGF
ENSDARG00000086158	EGF
ENSDARG00000103713	EGF
ENSDARG00000077938	EGF
ENSDARG00000069185	EGF
ENSDARG00000058259	EGF
