gene	cluster
AN5093	Cluster_7
AN5092	cluster_T
AN12284	cluster_T
AN5091	Cluster_7
AN11461	Cluster_5
AN5090	cluster_T
AN5089	cluster_T
AN10630	Cluster_8
AN5088	Cluster_5
AN5087	cluster_T
AN5086	cluster_T
AN10628	cluster_T
AN10629	cluster_T
AN10626	cluster_T
AN10631	cluster_T
AN5083	cluster_T
AN5082	cluster_T
AN5081	Cluster_8
AN12281	Cluster_1
AN10625	Cluster_1
AN10627	Cluster_8
AN5079	cluster_T
AN5078	cluster_T
AN12280	Cluster_8
AN12279	Cluster_5
AN5076	Cluster_7
AN5075	cluster_T
AN5074	cluster_T
AN5073	cluster_T
AN5072	cluster_T
AN5071	cluster_T
AN5070	Cluster_8
AN5069	Cluster_5
AN5068	cluster_T
AN5067	Cluster_2
AN5066	Cluster_5
AN5065	Cluster_8
AN5063	Cluster_7
AN5062	cluster_T
AN5061	cluster_T
AN11457	cluster_T
AN5060	cluster_T
AN5059	cluster_T
AN12398	Cluster_8
AN12397	cluster_T
AN5057	Cluster_5
AN5056	Cluster_5
AN11456	Cluster_8
AN5055	cluster_T
AN12396	cluster_T
AN5054	Cluster_7
AN5053	Cluster_2
AN5052	Cluster_7
AN5051	Cluster_2
AN5050	Cluster_2
AN5049	Cluster_5
AN5048	Cluster_8
AN5047	cluster_T
AN5046	cluster_T
AN10613	cluster_T
AN10624	cluster_T
AN5044	cluster_T
AN10623	Cluster_7
AN10612	cluster_T
AN5041	cluster_T
AN5040	cluster_T
AN5039	Cluster_7
AN5038	cluster_T
AN11455	cluster_T
AN5037	cluster_T
AN11780	cluster_T
AN5036	cluster_T
AN5035	cluster_T
AN5034	cluster_T
AN5033	cluster_T
AN5032	cluster_T
AN5031	cluster_T
AN5030	cluster_T
AN5029	cluster_T
AN5028	Cluster_2
AN11779	cluster_T
AN5027	Cluster_5
AN5026	Cluster_8
AN5025	Cluster_5
AN5024	cluster_T
AN5023	Cluster_5
AN5022	Cluster_1
AN5021	Cluster_5
AN5020	Cluster_5
AN5019	Cluster_8
AN5018	Cluster_5
AN5017	Cluster_8
AN5016	Cluster_8
AN5015	cluster_T
AN5014	Cluster_1
AN5013	Cluster_1
AN11778	Cluster_5
AN11777	Cluster_8
AN5011	Cluster_8
AN5010	Cluster_7
AN11776	cluster_T
AN5009	Cluster_5
AN5008	Cluster_1
AN11775	Cluster_1
AN5007	Cluster_1
AN10611	Cluster_1
AN10621	Cluster_1
AN5005	Cluster_1
AN5004	Cluster_1
AN5003	Cluster_2
AN5002	Cluster_7
AN11774	Cluster_8
AN11773	Cluster_1
AN10622	Cluster_1
AN5000	Cluster_5
AN4999	cluster_T
AN4998	Cluster_5
AN4997	Cluster_5
AN4996	Cluster_1
AN4995	Cluster_1
AN4994	Cluster_1
AN4993	Cluster_1
AN4992	Cluster_1
AN4991	Cluster_2
AN4990	cluster_T
AN4989	cluster_T
AN4988	Cluster_7
AN4987	Cluster_5
AN4986	Cluster_1
AN4985	Cluster_7
AN4984	Cluster_2
AN4983	Cluster_1
AN11772	Cluster_1
AN4982	Cluster_1
AN4981	Cluster_1
AN4980	Cluster_1
AN11771	Cluster_5
AN4979	Cluster_1
AN4978	Cluster_8
AN4977	Cluster_8
AN4976	Cluster_1
AN4975	Cluster_1
AN4974	Cluster_8
AN4973	Cluster_5
AN4972	Cluster_1
AN4971	Cluster_1
AN4970	Cluster_1
AN4969	Cluster_1
AN10610	Cluster_1
AN10620	Cluster_1
AN4967	Cluster_5
AN4966	Cluster_8
AN4965	Cluster_8
AN4964	Cluster_1
AN4963	Cluster_1
AN4962	Cluster_1
AN4961	Cluster_1
AN4960	Cluster_1
AN4959	Cluster_1
AN4958	Cluster_1
AN4957	Cluster_1
AN4956	Cluster_1
AN4955	Cluster_1
AN4954	Cluster_8
AN4953	Cluster_5
AN4952	Cluster_5
AN4951	Cluster_1
AN4950	Cluster_1
AN4949	Cluster_1
AN4948	Cluster_8
AN4947	Cluster_5
AN4946	Cluster_5
AN4945	Cluster_5
AN4944	Cluster_8
AN4943	Cluster_5
AN4942	Cluster_1
AN4941	Cluster_5
AN4940	Cluster_1
AN4939	Cluster_8
AN4938	Cluster_5
