gene	cluster
AN5093	Cluster_4
AN5092	Cluster_4
AN12284	Cluster_4
AN5091	Cluster_6
AN11461	Cluster_6
AN5090	Cluster_6
AN5089	Cluster_6
AN10630	Cluster_6
AN5088	Cluster_6
AN5087	Cluster_6
AN5086	Cluster_3
AN10628	Cluster_2
AN10629	Cluster_5
AN10626	Cluster_3
AN10631	Cluster_2
AN5083	Cluster_3
AN5082	Cluster_6
AN5081	Cluster_4
AN12281	Cluster_4
AN10625	Cluster_4
AN10627	Cluster_4
AN5079	Cluster_6
AN5078	Cluster_4
AN12280	Cluster_4
AN12279	Cluster_4
AN5076	Cluster_4
AN5075	Cluster_4
AN5074	Cluster_4
AN5073	Cluster_4
AN5072	Cluster_4
AN5071	Cluster_4
AN5070	Cluster_4
AN5069	Cluster_6
AN5068	Cluster_4
AN5067	Cluster_4
AN5066	Cluster_4
AN5065	Cluster_4
AN5063	Cluster_4
AN5062	Cluster_4
AN5061	Cluster_4
AN11457	Cluster_4
AN5060	Cluster_4
AN5059	Cluster_4
AN12398	Cluster_4
AN12397	Cluster_4
AN5057	Cluster_4
AN5056	Cluster_4
AN11456	Cluster_4
AN5055	Cluster_4
AN12396	Cluster_4
AN5054	Cluster_4
AN5053	Cluster_4
AN5052	Cluster_4
AN5051	Cluster_4
AN5050	Cluster_4
AN5049	Cluster_4
AN5048	Cluster_4
AN5047	Cluster_6
AN5046	Cluster_4
AN10613	Cluster_4
AN10624	Cluster_4
AN5044	Cluster_4
AN10623	Cluster_4
AN10612	Cluster_4
AN5041	Cluster_4
AN5040	Cluster_4
AN5039	Cluster_4
AN5038	Cluster_4
AN11455	Cluster_4
AN5037	Cluster_4
AN11780	Cluster_4
AN5036	Cluster_4
AN5035	Cluster_4
AN5034	Cluster_4
AN5033	Cluster_4
AN5032	Cluster_4
AN5031	Cluster_4
AN5030	Cluster_4
AN5029	Cluster_4
AN5028	Cluster_4
AN11779	Cluster_4
AN5027	Cluster_4
AN5026	Cluster_6
AN5025	Cluster_4
AN5024	Cluster_4
AN5023	Cluster_4
AN5022	Cluster_4
AN5021	Cluster_4
AN5020	Cluster_6
AN5019	Cluster_4
AN5018	Cluster_4
AN5017	Cluster_4
AN5016	Cluster_7
AN5015	Cluster_8
AN5014	Cluster_3
AN5013	Cluster_4
AN11778	Cluster_4
AN11777	Cluster_4
AN5011	Cluster_4
AN5010	Cluster_4
AN11776	Cluster_6
AN5009	Cluster_6
AN5008	Cluster_4
AN11775	Cluster_4
AN5007	Cluster_4
AN10611	Cluster_4
AN10621	Cluster_4
AN5005	Cluster_6
AN5004	Cluster_3
AN5003	Cluster_2
AN5002	Cluster_4
AN11774	Cluster_4
AN11773	Cluster_4
AN10622	Cluster_4
AN5000	Cluster_4
AN4999	Cluster_4
AN4998	Cluster_4
AN4997	Cluster_6
AN4996	Cluster_4
AN4995	Cluster_4
AN4994	Cluster_4
AN4993	Cluster_4
AN4992	Cluster_4
AN4991	Cluster_6
AN4990	Cluster_4
AN4989	Cluster_6
AN4988	Cluster_3
AN4987	Cluster_6
AN4986	Cluster_4
AN4985	Cluster_4
AN4984	Cluster_6
AN4983	Cluster_4
AN11772	Cluster_4
AN4982	Cluster_4
AN4981	Cluster_4
AN4980	Cluster_4
AN11771	Cluster_4
AN4979	Cluster_6
AN4978	Cluster_4
AN4977	Cluster_6
AN4976	Cluster_1
AN4975	Cluster_4
AN4974	Cluster_4
AN4973	Cluster_6
AN4972	Cluster_4
AN4971	Cluster_4
AN4970	Cluster_4
AN4969	Cluster_4
AN10610	Cluster_4
AN10620	Cluster_4
AN4967	Cluster_4
AN4966	Cluster_4
AN4965	Cluster_4
AN4964	Cluster_4
AN4963	Cluster_4
AN4962	Cluster_4
AN4961	Cluster_4
AN4960	Cluster_4
AN4959	Cluster_4
AN4958	Cluster_4
AN4957	Cluster_4
AN4956	Cluster_4
AN4955	Cluster_4
AN4954	Cluster_4
AN4953	Cluster_4
AN4952	Cluster_4
AN4951	Cluster_4
AN4950	Cluster_4
AN4949	Cluster_4
AN4948	Cluster_4
AN4947	Cluster_6
AN4946	Cluster_3
AN4945	Cluster_2
AN4944	Cluster_4
AN4943	Cluster_4
AN4942	Cluster_4
AN4941	Cluster_5
AN4940	Cluster_3
AN4939	Cluster_4
AN4938	Cluster_4
AN4937	Cluster_4
AN4936	Cluster_6
AN4935	Cluster_3
AN4934	Cluster_4
AN4933	Cluster_4
AN4932	Cluster_4
AN4931	Cluster_4
AN4930	Cluster_4
AN11770	Cluster_4
AN4929	Cluster_6
AN4928	Cluster_6
AN4927	Cluster_6
AN4926	Cluster_4
AN4925	Cluster_4
AN4924	Cluster_4
AN4923	Cluster_4
AN11769	Cluster_4
AN4922	Cluster_4
AN4921	Cluster_4
AN11768	Cluster_4
AN4920	Cluster_4
AN4919	Cluster_4
AN4918	Cluster_4
AN4917	Cluster_6
AN4916	Cluster_6
AN4915	Cluster_6
AN4914	Cluster_6
AN4913	Cluster_4
AN4912	Cluster_4
AN4911	Cluster_4
AN4910	Cluster_4
AN4909	Cluster_4
AN4908	Cluster_4
AN4907	Cluster_4
AN4906	Cluster_4
AN4905	Cluster_6
AN10615	Cluster_6
AN4904	Cluster_4
AN4903	Cluster_4
AN4902	Cluster_6
AN4901	Cluster_4
AN10614	Cluster_3
AN4900	Cluster_2
AN4899	Cluster_4
AN4898	Cluster_4
AN4897	Cluster_6
AN4896	Cluster_4
AN4895	Cluster_6
AN4894	Cluster_6
AN4893	Cluster_4
AN4892	Cluster_4
AN4891	Cluster_6
AN4890	Cluster_4
AN11253	Cluster_4
AN4889	Cluster_6
AN4888	Cluster_6
AN4887	Cluster_4
AN4886	Cluster_4
AN10609	Cluster_4
AN10618	Cluster_4
AN10619	Cluster_4
AN4884	Cluster_4
AN4883	Cluster_4
AN4882	Cluster_4
AN4881	Cluster_4
AN4880	Cluster_4
AN4879	Cluster_4
AN4878	Cluster_6
AN4877	Cluster_4
AN4876	Cluster_6
AN4875	Cluster_6
AN4874	Cluster_4
AN4873	Cluster_6
AN4872	Cluster_3
AN4871	Cluster_6
AN11767	Cluster_4
AN4870	Cluster_6
AN4869	Cluster_4
AN4868	Cluster_4
AN4867	Cluster_4
AN4866	Cluster_4
AN4865	Cluster_4
AN4864	Cluster_4
AN4863	Cluster_4
AN4862	Cluster_4
AN4861	Cluster_4
AN11766	Cluster_4
AN4860	Cluster_4
AN4859	Cluster_4
AN10617	Cluster_4
AN10608	Cluster_4
AN11765	Cluster_4
AN4857	Cluster_4
AN10616	Cluster_4
AN12479	Cluster_4
AN9526	Cluster_4
AN4855	Cluster_4
AN20051	Cluster_4
AN4854	Cluster_4
AN4853	Cluster_6
AN4852	Cluster_4
AN10603	Cluster_4
AN10606	Cluster_4
AN4850	Cluster_4
AN4849	Cluster_4
AN4848	Cluster_4
AN10602	Cluster_4
AN10605	Cluster_4
AN4846	Cluster_4
AN4845	Cluster_4
AN10604	Cluster_4
AN10601	Cluster_4
AN4843	Cluster_4
AN4842	Cluster_4
AN4841	Cluster_4
AN4840	Cluster_4
AN4839	Cluster_4
AN4838	Cluster_4
AN4837	Cluster_4
AN4836	Cluster_4
AN4835	Cluster_4
AN4834	Cluster_4
AN4833	Cluster_4
AN4832	Cluster_4
AN4831	Cluster_4
AN4830	Cluster_4
AN4829	Cluster_4
AN10599	Cluster_4
AN10600	Cluster_4
AN4827	Cluster_4
AN4826	Cluster_4
AN4825	Cluster_4
AN4824	Cluster_4
AN4823	Cluster_4
AN9445	Cluster_4
AN9446	Cluster_4
AN11232	Cluster_4
AN11233	Cluster_4
AN4822	Cluster_4
AN4821	Cluster_4
AN10597	Cluster_4
AN4820	Cluster_4
AN4819	Cluster_4
AN4818	Cluster_4
AN4817	Cluster_6
AN4816	Cluster_4
AN4815	Cluster_4
AN12225	Cluster_4
AN4814	Cluster_4
AN4813	Cluster_4
AN4812	Cluster_4
AN4811	Cluster_4
AN4810	Cluster_4
AN4809	Cluster_4
AN10598	Cluster_4
AN10595	Cluster_4
AN4807	Cluster_4
AN4806	Cluster_4
AN4805	Cluster_4
AN4804	Cluster_6
AN4803	Cluster_3
AN4802	Cluster_3
AN4801	Cluster_4
AN4800	Cluster_6
AN4799	Cluster_4
AN10594	Cluster_6
AN10596	Cluster_4
AN4797	Cluster_4
AN4796	Cluster_4
AN4795	Cluster_4
AN4794	Cluster_3
AN4793	Cluster_4
AN4792	Cluster_4
AN4791	Cluster_4
AN4790	Cluster_4
AN4789	Cluster_4
AN4788	Cluster_6
AN4787	Cluster_3
AN4786	Cluster_6
AN4785	Cluster_4
AN4784	Cluster_4
AN12224	Cluster_4
AN4783	Cluster_4
AN4782	Cluster_4
AN4781	Cluster_6
AN4780	Cluster_6
AN4779	Cluster_6
AN4778	Cluster_2
AN4777	Cluster_3
AN4776	Cluster_6
AN4775	Cluster_4
AN4774	Cluster_4
AN12223	Cluster_4
AN4773	Cluster_4
AN12222	Cluster_4
AN12221	Cluster_4
AN4771	Cluster_4
AN9485	Cluster_6
AN9486	Cluster_4
AN10593	Cluster_6
AN4770	Cluster_6
AN4769	Cluster_6
AN4768	Cluster_4
AN4767	Cluster_4
AN4766	Cluster_4
AN10584	Cluster_4
AN10591	Cluster_4
AN4764	Cluster_4
AN4763	Cluster_6
AN4762	Cluster_6
AN4761	Cluster_4
AN4760	Cluster_4
AN4759	Cluster_6
AN4758	Cluster_6
AN4757	Cluster_4
AN10583	Cluster_4
AN10586	Cluster_4
AN10590	Cluster_4
AN4755	Cluster_4
AN4754	Cluster_4
AN4753	Cluster_4
AN4752	Cluster_4
AN4751	Cluster_4
AN4750	Cluster_4
AN4749	Cluster_4
AN4748	Cluster_4
AN4747	Cluster_4
AN4746	Cluster_4
AN4745	Cluster_4
AN4744	Cluster_4
AN4743	Cluster_4
AN4742	Cluster_3
AN11978	Cluster_6
AN4741	Cluster_4
AN4740	Cluster_4
AN4739	Cluster_4
AN4738	Cluster_4
AN10582	Cluster_4
AN10585	Cluster_6
AN4736	Cluster_6
AN4735	Cluster_4
AN4734	Cluster_4
AN4733	Cluster_6
AN4732	Cluster_6
AN4731	Cluster_4
AN4730	Cluster_4
AN4729	Cluster_4
AN4728	Cluster_4
AN4727	Cluster_4
AN4726	Cluster_4
AN4725	Cluster_4
AN4724	Cluster_4
AN4723	Cluster_4
AN4722	Cluster_4
AN11977	Cluster_4
AN4721	Cluster_4
AN11976	Cluster_4
AN4720	Cluster_4
AN4719	Cluster_6
AN4718	Cluster_6
AN4717	Cluster_4
AN4716	Cluster_6
AN4715	Cluster_6
AN4714	Cluster_6
AN4713	Cluster_4
AN10589	Cluster_4
AN10581	Cluster_4
AN4711	Cluster_4
AN4710	Cluster_4
AN4709	Cluster_4
AN4708	Cluster_4
AN4707	Cluster_4
AN4706	Cluster_4
AN4705	Cluster_4
AN4704	Cluster_4
AN4703	Cluster_4
AN4702	Cluster_4
AN4701	Cluster_4
AN4700	Cluster_4
AN4699	Cluster_4
AN4698	Cluster_4
AN10592	Cluster_4
AN4697	Cluster_4
AN4696	Cluster_4
AN4695	Cluster_4
AN4694	Cluster_4
AN10580	Cluster_4
AN10588	Cluster_4
AN4692	Cluster_4
AN4691	Cluster_4
AN4690	Cluster_4
AN4689	Cluster_4
AN4688	Cluster_4
AN4687	Cluster_4
AN4686	Cluster_4
AN4685	Cluster_4
AN4684	Cluster_4
AN11975	Cluster_4
AN4683	Cluster_6
AN4682	Cluster_4
AN4681	Cluster_4
AN4680	Cluster_4
AN11974	Cluster_4
AN4678	Cluster_4
AN4677	Cluster_4
AN4676	Cluster_4
AN4675	Cluster_4
AN4674	Cluster_4
AN4673	Cluster_4
AN4672	Cluster_4
AN4671	Cluster_4
AN4670	Cluster_4
AN4669	Cluster_4
AN4668	Cluster_4
AN11973	Cluster_4
AN4667	Cluster_4
AN4666	Cluster_4
AN4665	Cluster_4
AN4664	Cluster_4
AN4663	Cluster_4
AN4662	Cluster_4
AN4660	Cluster_4
AN4659	Cluster_4
AN4658	Cluster_4
AN12165	Cluster_6
AN4657	Cluster_6
AN4656	Cluster_4
AN4655	Cluster_3
AN4654	Cluster_4
AN4653	Cluster_4
AN4652	Cluster_4
AN10574	Cluster_4
AN10578	Cluster_6
AN4650	Cluster_4
AN4649	Cluster_4
AN4648	Cluster_4
AN4647	Cluster_6
AN4646	Cluster_3
AN4645	Cluster_4
AN4644	Cluster_4
AN4643	Cluster_4
AN4642	Cluster_4
AN10573	Cluster_4
AN10576	Cluster_4
AN4640	Cluster_4
AN4639	Cluster_4
AN4638	Cluster_6
AN12164	Cluster_6
AN4637	Cluster_2
AN4636	Cluster_3
AN10572	Cluster_4
AN10575	Cluster_4
AN4634	Cluster_4
AN4633	Cluster_6
AN4632	Cluster_6
AN4631	Cluster_4
AN4630	Cluster_4
AN4628	Cluster_4
AN4629	Cluster_4
AN4627	Cluster_4
AN4626	Cluster_4
AN4625	Cluster_4
AN10579	Cluster_4
AN10571	Cluster_4
AN4623	Cluster_4
AN4622	Cluster_4
AN4621	Cluster_4
AN4620	Cluster_4
AN4619	Cluster_4
AN4618	Cluster_4
AN4617	Cluster_4
AN4616	Cluster_6
AN4615	Cluster_1
AN4614	Cluster_5
AN4613	Cluster_4
AN4612	Cluster_6
AN11444	Cluster_4
AN4611	Cluster_4
AN4610	Cluster_4
AN4609	Cluster_4
AN4608	Cluster_4
AN4607	Cluster_4
AN4606	Cluster_4
AN4605	Cluster_4
AN4604	Cluster_4
AN4603	Cluster_4
AN12163	Cluster_4
AN4602	Cluster_4
AN4601	Cluster_6
AN4600	Cluster_4
AN4599	Cluster_4
AN4598	Cluster_4
AN4597	Cluster_4
AN4596	Cluster_4
AN4595	Cluster_4
AN4594	Cluster_3
AN4593	Cluster_6
AN4592	Cluster_4
AN4591	Cluster_4
AN12465	Cluster_4
AN4590	Cluster_4
AN4589	Cluster_4
AN4588	Cluster_4
AN11914	Cluster_4
AN4587	Cluster_4
AN4586	Cluster_4
AN4585	Cluster_4
AN4584	Cluster_6
AN4583	Cluster_6
AN4582	Cluster_4
AN4581	Cluster_4
AN4580	Cluster_4
AN4579	Cluster_6
AN4578	Cluster_6
AN4577	Cluster_4
AN4576	Cluster_4
AN4575	Cluster_4
AN4574	Cluster_4
AN4573	Cluster_4
AN4572	Cluster_4
AN4571	Cluster_4
AN4570	Cluster_4
AN4569	Cluster_6
AN10570	Cluster_4
AN10565	Cluster_4
AN4567	Cluster_4
AN4566	Cluster_4
AN4565	Cluster_4
AN4564	Cluster_4
AN4563	Cluster_6
AN4562	Cluster_4
AN4561	Cluster_4
AN4560	Cluster_6
AN4559	Cluster_4
AN4558	Cluster_6
AN4557	Cluster_6
AN4556	Cluster_4
AN4555	Cluster_4
AN4554	Cluster_6
AN4553	Cluster_6
AN4552	Cluster_6
AN11913	Cluster_4
AN11912	Cluster_4
AN4550	Cluster_4
AN4549	Cluster_4
AN4548	Cluster_4
AN4547	Cluster_4
AN4546	Cluster_4
AN4545	Cluster_4
AN4544	Cluster_4
AN4543	Cluster_4
AN4542	Cluster_4
AN4541	Cluster_4
AN4540	Cluster_4
AN4539	Cluster_4
AN4538	Cluster_4
AN4537	Cluster_4
AN4536	Cluster_6
AN4535	Cluster_4
AN11911	Cluster_4
AN4534	Cluster_4
AN10564	Cluster_4
AN10567	Cluster_4
AN4532	Cluster_6
AN4531	Cluster_4
AN4530	Cluster_4
AN4529	Cluster_4
AN11442	Cluster_4
AN4528	Cluster_6
AN4527	Cluster_4
AN4526	Cluster_4
AN4525	Cluster_4
AN4524	Cluster_4
AN4523	Cluster_6
AN4522	Cluster_6
AN4521	Cluster_4
AN4520	Cluster_4
AN4519	Cluster_4
AN4518	Cluster_4
AN4517	Cluster_4
AN10569	Cluster_4
AN10563	Cluster_6
AN4515	Cluster_4
AN10566	Cluster_4
AN10562	Cluster_4
AN4513	Cluster_4
AN4512	Cluster_4
AN4511	Cluster_4
AN4510	Cluster_4
AN4509	Cluster_4
AN11910	Cluster_6
AN4508	Cluster_6
AN4507	Cluster_4
AN4506	Cluster_4
AN4505	Cluster_4
AN4504	Cluster_4
AN4503	Cluster_4
AN4502	Cluster_4
AN4501	Cluster_6
AN4500	Cluster_3
AN4499	Cluster_6
AN4498	Cluster_4
AN11439	Cluster_4
AN4497	Cluster_4
AN4496	Cluster_4
AN4495	Cluster_4
AN4494	Cluster_6
AN4493	Cluster_6
AN4492	Cluster_4
AN4491	Cluster_6
AN4490	Cluster_6
AN4489	Cluster_4
AN4488	Cluster_4
AN4487	Cluster_4
AN4486	Cluster_4
AN4485	Cluster_4
AN11909	Cluster_4
AN4484	Cluster_6
