Oocyte	FollicularCell
ENSDARG00000086352	ENSDARG00000071494
ENSDARG00000086522	ENSDARG00000026081
ENSDARG00000090237	ENSDARG00000041348
ENSDARG00000091409	ENSDARG00000014357
ENSDARG00000105346	ENSDARG00000052433
ENSDARG00000039828	ENSDARG00000012671
ENSDARG00000042129	ENSDARG00000040777
ENSDARG00000042130	ENSDARG00000024759
ENSDARG00000090768	ENSDARG00000004111
ENSDARG00000092919	ENSDARG00000016454
ENSDARG00000087166	ENSDARG00000034181
ENSDARG00000003229	ENSDARG00000042180
ENSDARG00000037491	ENSDARG00000103176
ENSDARG00000004757	ENSDARG00000023362
