ID	Name	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	BS1	BS2	BS3	BS4	BS5	BS6	BS7	BS8	CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	DS1	DS2	DS3	DS4	DS5	DS6	DS7	DS8
1	Paracoccus 	0	0	0	0	0	0	5.82	0	0	4.92	6.23	11.11	14.17	4.68	12.21	8.4	4.06	0	4.77	3.72	0	0	43.5	0	0	5.6	2.57	2.57	6.71	2.23	21.11	0
2	Acinetobacter 	12.2	1.01	3.48	31.74	0	0	4.79	0.44	11.73	10.88	36.97	13.95	5.48	34.98	27.72	24.39	17.37	29.01	43.79	3.84	0	34.1	10.29	54.73	3.21	44.67	66.75	10.17	8.11	27.2	23.36	69.44
3	Enhydrobacter	0	0	0	0	0	0	0	0	0	0	0	7.17	0	6.94	9.55	5.09	0	0	0	0	0	0	1.18	0	0	0	0	0	0	10.23	0	2.74
4	Chryseobacterium 	0	0	0	0	0	0	0	0	0	0	3.36	12.42	8.17	24.65	0	7.27	8.94	5.88	3.61	0	0	5.69	8.38	22.38	0	0	4.92	14.64	1.75	0	0	0
5	Microbacterium	0	0	0	0	0	0	3.63	0	0	0	2.41	4.5	0	0	7.24	6.33	0	0	0	0	0	0	7.58	0	0	0.69	1.51	3.76	0	1.22	14	6.06
6	Brevibacterium 	0	0	0	0	0	0	0	0	15.67	0	3.64	6.51	0	0	0	0	0	0	0	0	0	0	0	0	18.83	39.73	5.11	0	0	36.24	0	2.76
7	Streptomyces	0	0	0	0	0	0	13.19	0	16.41	4.73	3.24	4.92	9.74	0	5.16	0	4.04	0	0	0	0	0	0	0	26.94	0.66	0	0	0	2.35	1.6	2.14
8	Kitasatospora	0	0	0	0	0	0	0	0	0	16.24	0	0	6.52	0	0	3.06	0	0	0	0	0	0	0	0	0	1.41	0	9.08	0	0	0	0
9	Rhodococcus	0	0	0	0	0	0	0	0	0	3.72	0	0	4.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Georgenia	0	0	0	0	0	0	0	0	0	0	0	0	5.74	0	13.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	Actinokineospora	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82	0	0	0	8.27	0	0	0	2.85	0	0	0	0	0	0	0	0	0	0
12	Corynebacterium	0	0	0	0	0	0	0	0	4.96	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0	0	0	0.81	0	0	0	2.41	0	0
13	Brachybacterium	0	0	0	0	0	0	0	0	6.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04	0	0	0	0	0	0	0
14	Dermacoccus	0	0	0	0	0	0	0	0	0	5.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63
15	Alicyclobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Kocuria	0	0	0	0	0	0	3.62	0	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.25	0	0	0	0	0	0	0
17	Flavobacterium 	20.45	0	0	0	0	0	0	0	0	0	0	0	0	2.04	0	0	0	2.65	0	0	0	2.03	0	0	0	0	0	0	13.03	0	0	0
18	Mycobacterium 	0	1.96	0	0	0	0	8.1	1.69	3.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41	0	0	0	0	0	0	0
19	Prevotella	0	0	0	0	0	0	7.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61	0	0	0	0	0
